type,출발_건물명,출발_주소,출발_lon,출발_lat,경유_도로명,경유_lon,경유_lat,도착_건물명,도착_주소,도착_lon,도착_lat
퇴근,폴리원 본사,서울 강서구 금낭화로 128,126.81267472870867,37.576565026082875,올림픽대로(개화IC),126.81089428679904,37.59059087906677,대곡역롯데캐슬엘클라씨아파트 111동,경기 고양시 덕양구 토당로 140,126.817953960385,37.6256330637995
퇴근,가가호호방문요양센터 본사,서울 강서구 금낭화로 135,126.81248445915284,37.57750175681955,올림픽대로(개화IC),126.81089428679904,37.59059087906677,삼성아파트,서울 도봉구 노해로66길 21,127.0485273066093,37.649135067255855
퇴근,신성약품 본사,경기 김포시 고촌읍 아라육로58번길 35-19,126.79002974806,37.5916779965307,올림픽대로(개화IC),126.81089428679904,37.59059087906677,래미안장위퍼스트하이아파트,서울 성북구 한천로 713,127.05135702409821,37.61984283215827
퇴근,오션테크 본사,경기 고양시 덕양구 행주산성로144번길 57,126.81604205163173,37.60208279000922,올림픽대로(개화IC),126.81089428679904,37.59059087906677,구리갈매푸르지오아파트 후문,경기 구리시 갈매중앙로 16,127.115873693945,37.6255841552745
퇴근,에이엔타워,서울 양천구 곰달래로1길 67,126.829531370907,37.535156443243,경인고속국도(신월IC),126.83024980839431,37.52788423935813,구리갈매푸르지오아파트 후문,경기 구리시 갈매중앙로 16,127.115873693945,37.6255841552745
퇴근,와이타워962,서울 양천구 가로공원로 130,126.830371507997,37.5358820567282,경인고속국도(신월IC),126.83024980839431,37.52788423935813,철산자이더헤리티지아파트,경기 광명시 시청로 70,126.869032832512,37.4820773430043
퇴근,제브라다니오 본사,서울 강서구 월정로 136,126.837852682499,37.5311253743395,경인고속국도(신월IC),126.83024980839431,37.52788423935813,은평스카이뷰자이아파트 전기차충전소,서울 은평구 통일로 1034,126.91779066135992,37.63490067593263
퇴근,에이스모자 서울본사,서울 양천구 월정로 197,126.8343842885168,37.53607425940634,경인고속국도(신월IC),126.83024980839431,37.52788423935813,방배래미안아트힐아파트 서문,서울 서초구 남부순환로 2311-12,127.00430626364,37.4770077907567
퇴근,성현산업 본사,서울 양천구 가로공원로 148,126.832519295207,37.5362446211068,경인고속국도(신월IC),126.83024980839431,37.52788423935813,삼성래미안1단지아파트,서울 강남구 영동대로114길 56,127.063068265081,37.516665055296
퇴근,호반건설 본사,서울 서초구 양재대로2길 18,127.0234648182516,37.45975748688088,양재대로(양재IC),127.03295036146442,37.46292008266235,자이빌라,서울 강동구 명일로13길 39,127.14289574500664,37.533357688413744
