type,출발_건물명,출발_주소,출발_lon,출발_lat,경유_도로명,경유_lon,경유_lat,도착_건물명,도착_주소,도착_lon,도착_lat
출근,당산래미안아파트 남문,,126.902219224331,37.5312935159084,강변북로(난지한강공원),126.87042338758916,37.57362389826026,위프라임트윈타워,경기 고양시 덕양구 으뜸로 130,126.87051655861532,37.57939157252172
출근,문정래미안아파트 120동,서울 송파구 문정로 83,127.12984270255804,37.489556947891664,강변북로(난지한강공원),126.87042338758916,37.57362389826026,국제텔레시스 본사,경기 고양시 덕양구 으뜸로 124,126.869746083577,37.5791150209039
출근,래미안파크스위트아파트 후문,서울 광진구 광나루로 545,127.08941763196725,37.54544764567652,강변북로(난지한강공원),126.87042338758916,37.57362389826026,천강이엔씨 본사,경기 고양시 덕양구 청초로 66,126.86294645404773,37.578038744068365
출근,동부센트레빌아파트 상가,서울 강서구 방화대로45길 32,126.814068003942,37.5744012407484,강변북로(난지한강공원),126.87042338758916,37.57362389826026,라인업코리아 본사,경기 고양시 덕양구 청초로 66,126.861926462032,37.578034852477
출근,강서힐스테이트아파트 게이트1,,126.83765790365,37.5479107207524,강변북로(난지한강공원),126.87042338758916,37.57362389826026,유어로스팅파크 본사,경기 고양시 덕양구 청초로 66,126.86288317365802,37.57797560104207
출근,남서울힐스테이트아파트,서울 금천구 시흥대로 165,126.90109718872206,37.44617350236848,올림픽대로,126.97127418950708,37.50890898813804,한일빌딩,서울 동작구 서달로15길 23,126.961735146259,37.5085702617214
출근,래미안장안2차아파트 215동,서울 동대문구 장안벚꽃로 167,127.07494852124607,37.572994883080874,올림픽대로,126.97127418950708,37.50890898813804,덕봉빌딩,서울 동작구 서달로 166,126.962875624867,37.5077525132776
출근,래미안빌라,서울 양천구 목동중앙로3길 83,126.86725506072334,37.538523254572596,올림픽대로,126.97127418950708,37.50890898813804,DR빌딩,서울 동작구 현충로 99,126.964881852718,37.508156776942
출근,잠실래미안아이파크아파트 123동,,127.10877345464662,37.5182590191389,올림픽대로,126.97127418950708,37.50890898813804,삼원빌딩,서울 동작구 서달로14가길 5,126.963106445509,37.5075615725548
출근,평창동롯데캐슬로잔아파트,서울 종로구 평창문화로 156,126.97739864484937,37.60997971216521,올림픽대로,126.97127418950708,37.50890898813804,중앙타워빌,서울 동작구 흑석로 112,126.961626672994,37.5083647974433
출근,구리 아름마을인창래미안5단지아파트 전기차충전소,경기 구리시 동구릉로85번길 76,127.13253362377075,37.61085529641318,강변북로,126.9722091044773,37.51978422894464,파크타워한강공인중개사사무소,서울 용산구 서빙고로 69,126.972352152373,37.5237100848436
출근,래미안파크스위트아파트 102동,서울 광진구 광나루로 545,127.09088165763579,37.54618084202723,강변북로,126.9722091044773,37.51978422894464,GS25 용산LS타워점,서울 용산구 한강대로 92,126.968114872792,37.5280914912762
출근,DMC한강자이더헤리티지아파트,경기 고양시 덕양구 대덕산로 20,126.86183715312791,37.58041787533947,강변북로,126.9722091044773,37.51978422894464,LS용산타워 주차장,서울 용산구 한강대로 92,126.96805389486364,37.52782567926267
출근,도봉래미안아파트,서울 도봉구 도봉로170길 40,127.04652365173122,37.67962236501131,강변북로,126.9722091044773,37.51978422894464,LS용산타워,서울 용산구 한강대로 92,126.96781398580704,37.52798869545446
출근,당산삼성래미안4차아파트 416동,서울 영등포구 당산로 214,126.90137392079198,37.53228301301442,강변북로,126.9722091044773,37.51978422894464,센트럴파크타워,서울 용산구 서빙고로 17,126.966581375271,37.5268080406193
출근,래미안월곡아파트 정문,서울 성북구 오패산로 90,127.036275902297,37.6100321623712,올림픽대로(강일IC),127.1551755416258,37.57257160435787,도드람타워 민영 주차장,서울 강동구 고덕비즈밸리로2가길 20,127.16078412095,37.5664688744959
출근,래미안장안2차아파트,서울 동대문구 장안벚꽃로 167,127.07538758267157,37.57396497479295,올림픽대로(강일IC),127.1551755416258,37.57257160435787,고덕비즈밸리 더에이스타워,서울 강동구 고덕비즈밸리로4길 30,127.16056962739532,37.56673315795721
출근,묵동자이2단지아파트 정문,서울 중랑구 동일로 932,127.07784821921,37.6138367586924,올림픽대로(강일IC),127.1551755416258,37.57257160435787,에이스메디칼 타워 민영 주차장,서울 강동구 고덕비즈밸리로4길 30,127.16055457428,37.5665755043021
출근,길음뉴타운8단지래미안아파트 후문,,127.016992247768,37.6070200015407,올림픽대로(강일IC),127.1551755416258,37.57257160435787,휴네시온타워,서울 강동구 고덕비즈밸리로2가길 67,127.158967143721,37.5679354518055
출근,방학삼성래미안1단지아파트 101동,서울 도봉구 마들로 646,127.0477108460442,37.66769382350442,올림픽대로(강일IC),127.1551755416258,37.57257160435787,HJ일화타워 주차장,서울 강동구 고덕비즈밸리로2가길 27,127.160230390356,37.5663606069112
출근,개포래미안포레스트아파트 관리사무소,서울 강남구 개포로 264,127.05447518847504,37.476533093769,한남대교,127.01089727145956,37.52968848035694,남제씨앤디 본사,서울 용산구 한남대로11길 8,127.00889706912096,37.531184093762576
출근,방배래미안아트힐아파트,서울 서초구 남부순환로 2311-12,127.00511465214285,37.477675406635306,한남대교,127.01089727145956,37.52968848035694,제일타워,서울 용산구 한남대로11길 8,127.008888017758,37.5311804904387
출근,수유래미안아파트,서울 강북구 한천로159길 8,127.01806139822301,37.64470812300841,한남대교,127.01089727145956,37.52968848035694,순천향대학교 부속 서울병원 주차타워 P5주차장,서울 용산구 대사관로 59,127.00500991993974,37.5345837997609
