type,출발_건물명,출발_주소,출발_lon,출발_lat,경유_도로명,경유_lon,경유_lat,도착_장소명,도착_주소,도착_lon,도착_lat
주말여행,DMC자이더리버아파트 배드민턴장,경기 고양시 덕양구 대덕산로 90,126.869253715643,37.5797100332122,강변북로(난지한강공원),126.87042338758916,37.57362389826026,별내동 카페거리,경기 남양주시 별내동 946-7,127.127000828952,37.6580117266865
주말여행,운현신화타워아파트,서울 종로구 삼일대로32길 36,126.98913703079735,37.575102175494756,강변북로(난지한강공원),126.87042338758916,37.57362389826026,서해안조개광장,인천 중구 마시란로 65,126.41871412114102,37.42801145529909
주말여행,화곡푸르지오아파트 관리사무소,서울 강서구 화곡로13길 107,126.83118458829995,37.54409943164333,강변북로(난지한강공원),126.87042338758916,37.57362389826026,비발디파크 오션월드,강원특별자치도 홍천군 서면 한치골길 262,127.68691203933,37.6499534973208
주말여행,단독주택(개화2) 전기차충전소,서울 강서구 개화2길 3-7,126.798876311523,37.5836610650205,강변북로(난지한강공원),126.87042338758916,37.57362389826026,강릉중앙시장,강원특별자치도 강릉시 금성로 21,128.8986237900098,37.75402511765781
주말여행,양원역금호어울림포레스트아파트,서울 중랑구 양원역로10길 75,127.11001352763235,37.6077565119971,강변북로(난지한강공원),126.87042338758916,37.57362389826026,인천국제공항,인천 중구 공항로 272,126.45092036935392,37.44916785897667
주말여행,나인원한남아파트,서울 용산구 한남대로 91,127.0037077452984,37.53635611620867,올림픽대로,126.97127418950708,37.50890898813804,IFC몰,서울 영등포구 국제금융로 10,126.92589589473786,37.5250415765605
주말여행,목동삼성아파트,서울 양천구 신목로 7,126.87637159349308,37.515766646451446,올림픽대로,126.97127418950708,37.50890898813804,서울숲카페거리,서울 성동구 성수동1가 668-11,127.043028992489,37.5464440372535
주말여행,중림동삼성사이버빌리지아파트(201),서울 중구 중림로4길 41,126.964666441878,37.5572180236312,올림픽대로,126.97127418950708,37.50890898813804,행리단길,경기 수원시 팔달구 신풍동 27-2,127.014127546851,37.2854573747618
주말여행,철산자이더헤리티지아파트,경기 광명시 시청로 70,126.869032832512,37.4820773430043,올림픽대로,126.97127418950708,37.50890898813804,롯데월드타워,서울 송파구 올림픽로 300,127.10255558658324,37.51260447840551
주말여행,래미안원베일리아파트 GATE2,서울 서초구 반포동 1-1,126.996459984373,37.5065761753995,올림픽대로,126.97127418950708,37.50890898813804,홍대입구역 2호선,서울 마포구 양화로 지하 160,126.923778562273,37.5568707448873
주말여행,여의도자이아파트,서울 영등포구 여의동로3길 10,126.92605313373396,37.51817243109359,강변북로,126.9722091044773,37.51978422894464,뚝섬한강공원,서울 광진구 자양동 427-6,127.06892112991,37.5292974433415
주말여행,개봉푸르지오아파트 관리사무소,서울 구로구 남부순환로 775,126.84831843546309,37.50007720440028,강변북로,126.9722091044773,37.51978422894464,스타필드 하남,경기 하남시 미사대로 750,127.22367994072208,37.5455129166084
주말여행,개화산동부센트레빌아파트 정문,서울 강서구 양천로3길 17,126.806523004597,37.5731250223196,강변북로,126.9722091044773,37.51978422894464,두물머리,경기 양평군 양서면 양수리,127.315829778049,37.5328127891601
주말여행,철산래미안자이아파트 게이트1,경기 광명시 디지털로 56,126.873137033086,37.472696010279,강변북로,126.9722091044773,37.51978422894464,교보문고 광화문점,서울 종로구 종로 1,126.977908555263,37.5707974563789
주말여행,본동삼성래미안아파트,서울 동작구 매봉로 123,126.95003946254063,37.50989217282603,강변북로,126.9722091044773,37.51978422894464,가평빠지 캠프통포레스트 수상레저,경기 가평군 설악면 자잠로 377,127.492218515753,37.7027845908093
주말여행,중림동삼성사이버빌리지아파트(201),서울 중구 중림로4길 41,126.964666441878,37.5572180236312,올림픽대로(강일IC),127.1551755416258,37.57257160435787,남이섬,강원특별자치도 춘천시 남산면 남이섬길 1,127.5252101432974,37.79144074509299
주말여행,나인원한남아파트,서울 용산구 한남대로 91,127.0037077452984,37.53635611620867,올림픽대로(강일IC),127.1551755416258,37.57257160435787,속초해수욕장,강원특별자치도 속초시 해오름로 186,128.60409847805985,38.19005288814373
주말여행,상계주공5단지아파트,서울 노원구 동일로216길 47,127.06408162242663,37.652528854096474,올림픽대로(강일IC),127.1551755416258,37.57257160435787,캐리비안베이,경기 용인시 처인구 포곡읍 에버랜드로 199,127.200987568397,37.2971091835927
주말여행,서울고덕강일 공공주택지구,서울 강동구 고덕동 353-6,127.15948013027385,37.56697970535867,올림픽대로(강일IC),127.1551755416258,37.57257160435787,대부도,경기 안산시 단원구 대부동동,126.596768094707,37.246138589609
주말여행,힐스테이트서울숲리버아파트,서울 성동구 독서당로 344,127.02664354487428,37.54667682397977,올림픽대로(강일IC),127.1551755416258,37.57257160435787,속초해수욕장,강원특별자치도 속초시 해오름로 186,128.60409847805985,38.19005288814373
주말여행,호반써밋서초파크뷰아파트,서울 서초구 양재대로2길 11,127.0250469607207,37.45896787535628,경부고속도로(양재IC),127.03649072853756,37.46775739306534,두물머리,경기 양평군 양서면 양수리,127.315829778049,37.5328127891601
주말여행,삼성래미안아파트,서울 구로구 디지털로31길 90,126.89189949864326,37.48773177713954,경부고속도로(양재IC),127.03649072853756,37.46775739306534,비발디파크 오션월드,강원특별자치도 홍천군 서면 한치골길 262,127.68691203933,37.6499534973208
주말여행,힐스테이트세운센트럴2단지아파트 지하주차장,서울 중구 을지로15길 32,126.993981566478,37.5679549270886,경부고속도로(양재IC),127.03649072853756,37.46775739306534,캐리비안베이,경기 용인시 처인구 포곡읍 에버랜드로 199,127.200987568397,37.2971091835927
